４文字集合	可能な４文字単語
ああきき	飽き飽き
ああしと	足跡（あしあと）
ああとと	後後（あとあと）
あいいい	言い合い
あいいさ	最愛
あいいみ	意味合い
あいいろ	色合い
あいうそ	愛想（あいそう）
あいうぼ	相棒
あいうよ	愛用
あいおそ	お愛想
あいおり	折り合い
あいかけ	掛け合い
あいかげ	買い上げ
あいかつ	扱い
あいかね	兼ね合い
あいかろ	赤色（あかいろ）
あいきつ	付き合い
あいきひ	引き合い
あいくさ	最悪
あいくせ	悪性（あくせい）
あいくみ	組合
あいぐふ	不具合
あいけん	愛犬
あいこん	アイコン
あいさち	朝市
あいさつ	挨拶（あいさつ）
あいさま	毎朝
あいしり	知り合い
あいじわ	味わい
あいすつ	水圧
あいせつ	制圧
あいせん	安静
あいそら	争い
あいたち	立ち会い:立ち合い
あいたり	イタリア:リタイア
あいたん	大安:安泰
あいだん	代案
あいつり	釣り合い
あいてむ	アイテム
あいてら	手洗い
あいてん	安定:提案
あいとり	取り合い
あいどる	アイドル
あいどん	インドア
あいなれ	なれ合い
あいなん	案内
あいにふ	不似合い
あいにま	間に合い
あいはり	張り合い
あいふれ	触れ合い
あいめん	名案:明暗
あいりわ	割合
あいれん	恋愛
あいろん	アイロン
あうくよ	悪用
あうげり	売り上げ
あうこつ	高圧
あうこん	考案
あうごん	暗号
あうさゆ	朝夕（あさゆう）
あうじす	薄味
あうたー	アウター
あうっと	圧倒
あうとま	甘党
あうとん	答案
あうなめ	穴埋め
あえこん	エアコン:エアコン［エアコンディショナー］
あえしま	前足
あえとり	アトリエ
あえはぺ	ｐＨ（ペーハー）
あおおめ	大雨（おおあめ）
あおおれ	大荒れ
あおきさ	朝起き
あおけず	お預け
あおけむ	あお向け
あおげて	お手上げ
あおしじ	塩味
あおしと	後押し:足音
あおじそ	青じそ
あおじる	青汁
あおぞら	青空
あかきん	空き缶
あかけし	駆け足
あかげら	空揚げ
あかさる	明るさ
あかさん	母さん
あかずり	預かり
あかぜめ	雨風（あめかぜ）
あかたの	あの方
あかたり	在り方
あかっん	圧巻
あかふり	アフリカ
あかまら	甘辛
あかみる	明るみ
あかめり	アメリカ
あがきら	がらあき（空・明）:がら空き
あがけた	明け方
あがこれ	あこがれ
あがさた	朝型:朝方
あがさま	雨傘
あがしり	仕上がり
あがつり	暑がり
あがとま	後がま
あがねり	値上がり
あがゆり	湯上がり
あきくぬ	あく抜き
あきげひ	引き上げ
あきげり	切り上げ
あきこば	空き箱
あきさて	あて先
あきさと	後先（あとさき）
あきずと	傷跡
あきぞら	秋空
あきつや	厚焼き
あきとる	ある時
あきびん	空き瓶
あきめら	あきらめ
あきゃり	キャリア
あぎしり	ギリシア
あぎつり	厚切り
あくくや	悪役
あくけま	幕開け
あくげり	繰り上げ
あくさよ	翌朝（よくあさ）
あくしび	足首
あくしゅ	握手
あくせだ	汗だく
あくせる	アクセル
あくぜん	善悪
あくたっ	アタック
あくちま	甘口
あくつよ	抑圧
あくにん	悪人
あくもん	暗黙
あぐなろ	アナログ
あぐまも	雨雲
あぐるん	アングル
あけさづ	浅漬け
あけざま	甘酒
あけしと	年明け
あけしめ	開け閉め
あけじつ	味付け
あけつつ	血圧
あけつゆ	梅雨明け
あけなぬ	抜け穴
あけりわ	訳あり
あけんん	案件
あげこそ	底上げ
あげたち	立ち上げ
あげたな	棚上げ
あげちん	賃上げ
あげつみ	積み上げ
あげてに	当て逃げ
あげとり	取り上げ
あげのも	揚げ物
あげんん	原案
あこしし	足腰
あこちち	あちこち
あことの	この後（あと）
あこれれ	あれこれ
あさって	あさって
あさばん	ばあさん:朝晩
あさまり	ありさま
あざんん	暗算
あししよ	よしあし
あしせわ	幸せ:幸せ・仕合わせ
あしたー	シアター
あしだと	後出し［じゃんけん］
あしだむ	無駄足
あしとも	足もと
あしとる	ある年
あしどり	足どり
あしなみ	足並み
あしなる	あるなし
あしぶみ	足踏み
あしゅる	ある種［〜の］
あしりる	シリアル
あしんん	安心
あじそみ	みそ味
あじちも	持ち味
あじれん	アレンジ
あすどれ	アドレス
あずせみ	汗水
あずまみ	雨水（あまみず）
あせひや	冷や汗
あせみわ	見合わせ
あぜんん	安全
あそびよ	夜遊び
あぞまら	雨空
あたばり	場当たり
あたひり	日当たり
あたふー	アフター
あためら	改め
あだてわ	泡立て
あだはれ	肌荒れ
あだまめ	あめ玉
あちまや	過ち
あつでん	電圧
あつとめ	つめあと
あつはん	発案
あつまり	集まり
あつりん	立案
あてなん	アンテナ
あてりわ	割り当て
あとのひ	あの人
あとひる	ある人
あにへる	ヘルニア
あにまる	アニマル
あのへん	あの辺
あばむる	アルバム
あぱんん	あんパン
あふめり	雨降り
あぶみら	脂身:脂身［調理用］
あまもり	雨漏り
あまやり	誤り
あみんん	安眠
あむらー	アラーム
あもゆー	ユーモア
あられわ	現れ
いいえか	言い換え
いいえけ	経営
いいえす	水泳
いいえせ	衛星:衛生
いいおき	勢い
いいおわ	お祝い
いいかか	開会
いいかが	海外
いいかぐ	買い食い
いいかけ	会計:警戒
いいかさ	再会:再開:最下位:開催
いいかざ	財界
いいかす	海水
いいかせ	快晴:改正:正解
いいかた	大会:言い方:退会
いいかっ	一回
いいかて	改定:改訂:海底
いいかな	いい仲:内科医
いいかは	徘徊
いいかへ	閉会:開閉
いいかま	毎回
いいかめ	明解:解明
いいかん	会員
いいがき	生きがい
いいがさ	災害
いいがす	水害
いいがた	大概
いいがな	内外
いいがれ	例外
いいぎす	言い過ぎ
いいくじ	食い意地
いいくせ	育成
いいくた	体育
いいけさ	掲載
いいけざ	経済
いいけせ	形勢:形成:成形:整形
いいけた	体型［体格の型］:体形:形態:携帯
いいけて	定型:定形:提携
いいけは	背景
いいける	累計
いいけわ	言い分け:言い訳
いいさせ	再生
いいさだ	最大
いいさっ	一切
いいさて	体裁（ていさい）:最低
いいさは	采配
いいさば	栽培
いいさら	再来
いいさわ	幸い
いいざた	滞在
いいしと	いい年
いいすせ	水性
いいすた	衰退
いいすて	推定
いいすで	泥酔
いいすは	排水
いいすへ	水平
いいせた	体制:体勢:態勢:整体:正体:生態:耐性
いいせっ	一斉
いいせて	訂正
いいせへ	平成:平静
いいせめ	姓名:生命
いいせれ	冷静
いいただ	代替（だいたい）:大体
いいたっ	一体
いいたて	停滞
いいたな	体内
いいたは	大敗:敗退
いいたば	媒体
いいたん	引退:退院
いいだち	第一
いいだめ	題名
いいだれ	例題
いいちち	いちいち
いいちて	定位置
いいちば	一倍
いいちれ	一例
いいちん	一員:一因
いいって	一定
いいつゆ	唯一（ゆいいつ）
いいてめ	低迷
いいてれ	定例
いいてん	定員
いいとひ	いい人
いいなり	言いなり
いいはろ	灰色
いいぶん	言い分
いいめれ	命令
いいらら	いらいら
いうえこ	光栄:栄光
いうえぞ	映像
いうえぼ	防衛
いうえよ	栄養
いうえん	運営
いうおけ	請負（うけおい）
いうおた	対応:応対
いうおべ	欧米
いうおる	潤い
いうおん	押印
いうかが	伺い
いうかこ	公開:後悔
いうかす	回数
いうかそ	回想:海草（かいそう）:海藻:総会
いうかぞ	改造
いうかつ	開通
いうかと	回答:東海:解凍:解答
いうかど	街道
いうかふ	開封
いうかほ	介抱:崩壊:解放:開放
いうかり	売り買い
いうがこ	口外:外交:郊外
いうがた	疑い
いうがと	外灯:街灯:該当
いうがゆ	有害
いうがよ	概要
いうきこ	広域
いうきょ	脅威:驚異
いうくよ	養育
いうぐた	待遇
いうけこ	傾向:光景:後継:蛍光
いうけご	合計
いうけそ	総計:軽装
いうけと	系統:統計
いうけふ	風景
いうけほ	警報
いうけれ	受け入れ
いうげこ	工芸
いうげそ	送迎
いうこさ	交際:再考:最高
いうこす	遂行:香水
いうこず	洪水
いうこせ	公正:厚生:後世（こうせい）:成功:更生:構成
いうこた	交代:交代・交替:交替:対抗:後退:抗体
いうこだ	代行
いうこっ	一行
いうこて	工程:抵抗:校庭:肯定:行程
いうこな	口内
いうこは	後輩
いうこば	購買
いうこへ	並行:公平:平行
いうこれ	恒例:高齢
いうごせ	合成
いうごは	配合
いうごれ	号令
いうさそ	相殺（そうさい）
いうさと	搭載
いうさの	才能
いうさぼ	細胞:防災
いうさよ	採用
いうざと	東西
いうざゆ	有罪
いうしゅ	周囲:異臭
いうしょ	衣装
いうすそ	水槽
いうすど	水道
いうすぼ	防水
いうすま	枚数
いうすよ	水曜
いうする	ウイルス［ビールス］
いうせそ	正装:清掃
いうせぞ	製造
いうせと	正統
いうせど	同姓:同性
いうせの	性能
いうせほ	製法
いうせゆ	優勢
いうせよ	西洋:要請:陽性
いうせん	運勢
いうぜの	納税
いうそた	体操:早退
いうそっ	一掃
いうそて	想定
いうそな	内装
いうそは	配送
いうそめ	迷走
いうぞな	内臓:内蔵
いうぞれ	冷蔵
いうぞん	増員
いうたと	対等
いうたの	滞納
いうたふ	台風
いうたほ	包帯
いうたぼ	待望
いうたゆ	優待
いうたよ	太陽:容体（ようたい）:容態（ようたい）
いうだよ	代用:容体（ようだい）:容態（ようだい）
いうちど	一同
いうちゅ	注意
いうちょ	いちょう:胃腸
いうっと	一等
いうつと	統一
いうつほ	追放
いうつん	通院
いうとは	配当
いうとめ	透明
いうとも	妹
いうとら	到来
いうとれ	冷凍
いうどめ	同名
いうどる	同類
いうどん	動員
いうなよ	内容
いうなら	占い
いうはゆ	俳優
いうふよ	不用意
いうふれ	冷風
いうへほ	平方
いうへよ	併用
いうほれ	法令
いうぼれ	冷房
いうぼん	暴飲
いうめん	運命
いうゆれ	幽霊
いうょり	医療:衣料
いうより	入り用
いうよん	引用:要因:飲用
いええん	永遠
いえかが	映画化
いえかれ	入れ替え
いえかん	開演
いえきた	液体
いえきめ	駅名
いえきん	駅員
いえくこ	英国
いえくや	英訳
いえけん	円形
いえげん	園芸
いえさつ	撮影
いえせび	いせえび
いえせん	声援
いえたん	延滞
いえちも	持ち家
いえちん	一円
いえはん	反映:繁栄
いえぴむ	Ｐ．Ｍ．
いえぶん	英文
いおおぐ	大食い
いおおぜ	大勢（おおぜい）
いおかき	買い置き
いおかぜ	追い風
いおかろ	顔色（かおいろ）
いおがく	屋外
いおがた	お互い
いおきだ	追い炊き
いおきぬ	追い抜き
いおきん	音域
いおぎな	補い
いおくと	お得意
いおくな	屋内
いおけん	恩恵
いおこな	行い
いおこみ	追い込み
いおさら	おさらい
いおしだ	追い出し
いおしち	一押し:一押し・一推し:一推し
いおしま	おしまい
いおしれ	押し入れ
いおすん	水温:温水
いおせぼ	お歳暮
いおせん	音声
いおそよ	装い
いおそろ	おそろい［〜で・〜の］:おそろい［〜の着物］
いおたち	生い立ち
いおたん	体温
いおてん	低温:低音:音程
いおでも	思い出
いおとと	おととい
いおへん	平穏
いおまり	お参り
いおらわ	お笑い
いかかく	改革
いかかた	買い方
いかかん	会館:快感:開館
いかがち	地下街
いかがん	外観:感慨:海岸（かいがん）:眼科医
いかきけ	行（い）きかけ
いかきせ	会席:解析
いかきた	生き方:行（い）き方
いかきづ	気遣い
いかきど	買い時
いかきん	解禁
いかぎし	市議会
いかくけ	計画
いかくせ	性格:覚醒
いかくそ	快速
いかくた	体格
いかくだ	快諾:拡大
いかくて	確定
いかくど	解読:買い得
いかくな	内閣
いかくふ	回復
いかくま	開幕
いかくめ	革命
いかくや	解約
いかくら	いくらか:快楽
いかぐた	具体化
いかけこ	過去形
いかけつ	解決
いかけぼ	家計簿
いかけん	会見:景観:見解:警官:関係
いかげん	歓迎:限界
いかこっ	国会
いかこづ	小遣い
いかこて	固定化
いかこね	飼い猫
いかこん	今回
いかさつ	改札
いかさま	いかさま
いかさめ	境目
いかさわ	かわいさ
いかさん	完済:解散:関西
いかざや	居酒屋
いかしせ	世界史
いかしだ	買い出し
いかしぬ	買い主:飼い主
いかしは	支配下
いかしめ	買い占め
いかしゃ	会社:社会
いかしょ	初回
いかしん	改心
いかじせ	政治家:自家製
いかじに	二次会
いかずれ	いずれか
いかせつ	生活:解説
いかせん	回線:完成:感性:歓声
いかぜひ	非課税
いかぜん	全開:前回:改善
いかぞわ	川沿い
いかたた	たたかい（戦・闘）:戦い:闘い
いかたん	体感
いかだめ	買いだめ
いかだん	会談:大寒:怪談:段階:階段
いかっつ	一括
いかって	撤回
いかっや	厄介
いかっん	一貫
いかつで	使いで
いかつは	開発
いかつめ	壊滅
いかてん	回転:展開:鑑定:開店
いかとり	買い取り
いかどり	理解度
いかなん	難解
いかのみ	飲み会
いかのも	買い物
いかばん	完売
いかぱん	乾杯:完敗
いかふゆ	不愉快
いかふり	深入り
いかぶん	分解:異文化
いかべん	弁解
いかまん	満開
いかまー	マイカー
いかめん	感銘
いからん	回覧:来館
いかれん	慣例
いかわん	違和感
いかんん	印鑑
いがきし	石垣
いがきな	長生き
いがきへ	外壁
いがくこ	国外:外国
いがくせ	学生
いがくて	定額
いがくわ	枠外
いがくん	学院
いがけん	圏外:外見
いがさん	概算
いがしせ	静止画
いがしち	市街地
いがしつ	室外
いがしん	侵害
いがそん	損害
いがちつ	一月
いがちて	手違い
いがちま	間違い
いがちん	一丸
いがなめ	長い目［〜で見る］
いがねん	概念
いがめら	銘柄
いがめん	外面
いがやり	やりがい
いがらろ	色柄
いききさ	行（い）き先
いききぬ	息抜き
いきぎす	行（い）き過ぎ
いきぎれ	息切れ
いきくさ	行（い）く先
いきけし	型式（けいしき）:形式（けいしき）
いきけせ	形跡
いきけつ	行（い）きつけ
いきけふ	不景気
いきけれ	経歴
いきげれ	激励
